City,elevation in mtrs,lowlatitude,highlatitude,lowlongitude,highlongitude,forestarea_in_thhector,forestarea_in_percentage,overall_area_thhector,non_forest_area,non_forest_area_percentage,Non_Agriculturea_Land,Non_Agriculturea_Land_percentage,Cultivablea_Barrena_land,Cultivablea_Barrena_land_percentage,National_Highway_km,State Highway_km,Main District Highway_km,Other district & Rural Roads_km,Length_of_rail_line_km,Industrial Areas_hectare,micro_industries_manu,small_industries_manu,medium_industries_manu,large_industries_manu,micro_industries_services,small_industries_services,medium_industries_services,large_industries_services,micrototal,smalltotal,mediumtotal,largetotal,manu_total,service_total,industrytotal
pune,560,17.5,19.2,73.2,75.1,172,10.95,1562,1390,88.98847631,64,4.09731114,104,6.658130602,455,1325,5534,6698,639,6127.81,19907,5045,84,639,1856,773,18,0,21763,5818,102,639,25675,2647,53997
nashik,584,18.33,20.53,73.16,75.16,260,17.26427623,1506,1246,82.73572377,16,1.062416999,123,8.167330677,112,1655,4622,7582,287,1833.48,5634,2732,29,178,3697,2496,4,0,9331,5228,33,178,8573,6197,14770
mumbai,14,18.53,19.19,72.47,72.59,11.3,18.73963516,60.3,49,81.26036484,49,81.26036484,0,0,0,49,0,0,104.46,1275243,2191,1635,28,234,1381,1308,41,401,3572,2943,69,635,4088,3131,7219
thane,23,18.42,20.2,72.45,73.48,346.3,36.23142917,955.8,609.5,63.76857083,58,6.068215108,55,5.754341913,467,3349,2205,3398,545,"5,644.95",9454,5823,91,442,940,629,25,0,10394,6452,116,442,15810,1594,17404
solapur,457,17.1,18.32,74.42,76.15,60,57.69230769,104,44,42.30769231,0.205,0.197115385,0.623,0.599038462,177,1572,3011,6053,375.4,1681.55,5922,5870,2,76,312,14,0,0,6234,5884,2,76,11870,326,12196
Aurangabad,568,19,20,74,76,81,8.014247551,1010.7,929.7,91.98575245,108,10.6856634,898,88.84931236,134.2,1223.18,1241,2048,102,3179.5,3089,695,16,0,365,259,0,0,3454,954,16,0,3800,624,4424
Chandrapur,188,18.4,20.5,78.5,80.6,352,30.76116403,1144.3,792.3,69.23883597,92,8.03984969,24,2.097352093,0,649.31,1524,1678,381,3263.76,400,257,20,5,400,223,7,2,800,480,27,7,682,632,1314
Kolhapur,545.6,16.41,16.69,74.14,74.24,167.2,21.58533437,774.6,607.4,78.41466563,0,0,0,0,112,892,1644,5333,35.67,948.92,14280,5360,17,553,1945,18,0,0,16225,5378,17,553,20210,1963,22173
Amravati,343,21.3,21.5,76.35,78.27,321,26.28992629,1221,900,73.71007371,14,1.146601147,26,2.129402129,57,1448,1343,1202,195,3331.17,1592.01,682.29,1747,15,176.89,75.81,500,2,1768.9,758.1,2247,17,4036.3,754.7,4791
Jalgaon,225,20,21,74.55,76.28,220.2408,18.72,1176.5,956.2592,81.28,33,2.804929877,22,1.869953251,186.44,1293.56,1766.85,1842.5,350,1230.93,1268,289,5,0,1550,85,2,0,2818,374,7,0,1562,1637,3199
Latur,515,18.4,18.7,73.25,76.57,4,0.558893391,715.7,711.7,99.44110661,29,4.051977085,21,2.934190303,0,845,1245,1867,148,1460.59,1473,490,0,21,87,1,0,0,1560,491,0,21,1984,88,2072
Sangli,549,16.4,17.1,73.43,0,48,5.599626692,857.2,809.2,94.40037331,39,4.549696687,38,4.433037797,30,931,2199,3706,174,975.72,3769,972,3,125,266,88,1,0,4035,1060,4,125,4869,355,5224
Akola,316,20.17,21.16,76.7,77.4,44.796,8.252763449,542.8,498.004,91.74723655,24.08,4.436256448,24.281,4.473286662,128.1,548.09,1030.64,1125.03,193,1143.55,408,400,8,3,175,25,4,2,583,425,12,5,819,206,1025
Jalna,508,19.1,20.3,75.4,76.4,0.006,0.776196636,0.773,0.767,99.22380336,0.056,7.24450194,0.015,1.940491591,0,963,946,1704,88,417.46,3000,1000,2,3,213,100,1,1,3213,1100,3,4,4005,315,4320
nanded,362,18.15,19.55,77.7,78.15,91.748,8.879984514,1033.2,941.452,91.12001549,25.001,2.41976384,32.461,3.141792489,0,1155,2103,1215,208,1069.75,852,300,10,2,250,52,5,1,1102,352,15,3,1164,308,1482
nagpur,310,20.35,21.44,78.15,79.4,159,16.07359482,989.2,830.2,83.92640518,129,13.04084108,106,10.71572988,292,1112,1139,1920,421,3887.83,3699,"1,294",100,38,"4,150","1,000",50,25,7849,2294,150,63,5131,5225,10356
