year,city,count.thousands
2011,Aurangabad,253
2012,Aurangabad,281
2013,Aurangabad,310
2014,Aurangabad,362
2015,Aurangabad,426
2001,Mumbai,1030
2002,Mumbai,1069
2003,Mumbai,1124
2004,Mumbai,1199
2005,Mumbai,1295
2006,Mumbai,1394
2007,Mumbai,1503
2008,Mumbai,1605
2009,Mumbai,1674
2010,Mumbai,1768
2011,Mumbai,1870
2012,Mumbai,2029
2013,Mumbai,2187
2014,Mumbai,2333
2015,Mumbai,2571
2001,Nagpur,416
2002,Nagpur,459
2003,Nagpur,503
2004,Nagpur,543
2005,Nagpur,770
2006,Nagpur,824
2007,Nagpur,884
2008,Nagpur,946
2009,Nagpur,1009
2010,Nagpur,1079
2011,Nagpur,1157
2012,Nagpur,1237
2013,Nagpur,1270
2014,Nagpur,1274
2015,Nagpur,1276
2001,Pune,620
2002,Pune,658
2003,Pune,697
2004,Pune,755
2005,Pune,827
2006,Pune,874
2007,Pune,930
2008,Pune,1141
2009,Pune,1153
2010,Pune,1908
2011,Pune,2094
2012,Pune,2267
2013,Pune,2347
2014,Pune,2185
2015,Pune,2337
2010,Nashik,358
2011,Nashik,398
2012,Nashik,444
2013,Nashik,490
2014,Nashik,541
2015,Nashik,622
2001,Greater Mumbai,1030
2002,Greater Mumbai,1069
2003,Greater Mumbai,1124
2004,Greater Mumbai,1199
2005,Greater Mumbai,1295
2006,Greater Mumbai,1394
2007,Greater Mumbai,1503
2008,Greater Mumbai,1605
2009,Greater Mumbai,1674
2010,Greater Mumbai,1768
2011,Greater Mumbai,1870
2012,Greater Mumbai,2029
2013,Greater Mumbai,2187
2014,Greater Mumbai,2333
2015,Greater Mumbai,2571
